,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
1042,13015016,ENI,4336945.97399,535637.794519,13015,"20-22, RN DE ST ANTOINE",MARSEILLE,R
1043,13015019,TotalEnergies Access,4337300.0,535400.0,13015,21 BD HENRI BARNIER,Marseille,R
1044,13016007,TotalEnergies,4335640.0,532755.0,13016,654 CHEMIN DU LITTORAL,MARSEILLE,R
1045,13016008,TotalEnergies Access,4334900.0,534300.0,13016,450 CHEMIN DU LITTORAL,MARSEILLE,R
1046,13090017,TotalEnergies Access,4350900.0,543900.0,13090,RN8 PONT DE L ARC,Aix-en-Provence,R
1047,13090018,TotalEnergies Access,4355500.0,542000.0,13090,1140 RTE AVIGNON QU.CELONY RN7,Aix-en-Provence,R
1048,13090020,ENI,4354289.1,543170.3,13090,67 avenue De Lattre de Tassigny,Aix-en-Provence,R
1051,13100005,Esso,4351800.0,546500.0,13100,AV MALACRIDA,Aix-en-Provence,R
1052,13100006,Esso,4356000.0,546100.0,13100,ROUTE DES ALPES,Aix-en-Provence,R
1053,13100008,Casino,4351600.0,546300.0,13100,Avenue des Infirmeries,Aix-en-Provence,R
1054,13100013,TotalEnergies Access,4348400.0,538300.0,13853,ZI LES MILLES R. CL. LEDOUX,Aix-en-Provence,R
1055,13100014,TotalEnergies Access,4352086.41671,545900.219773,13100,122 COURS GAMBETTA,Aix-en-Provence,R
1056,13100015,TotalEnergies Access,4353200.56086,543734.451063,13100,AVENUE DU MAL DE LATTRE TASSIGNY,Aix-en-Provence,R
1057,13100016,TotalEnergies,4352800.0,543300.0,13100,16 ROUTE DE GALICE,Aix-en-Provence,R
1058,13100017,TotalEnergies Access,4351600.0,546600.0,13100,AVENUE HENRI MAURIAT,Aix-en-Provence,R
1059,13100018,BP,4351900.0,543300.0,13100,1 BL MARECHAL JUIN,Aix-en-Provence,R
1060,13105001,Intermarché,4342967.0,547296.0,13105,Chemin des Fabres,MIMET,R
